BS%20Zelda%20no%20Densetsu%20-%20Map%202%20-%20Dai%202%20Hanashi.zip|BS Zelda no Densetsu - Map 2 - Dai 2 Hanashi|344.2K
BS%20Zelda%20no%20Densetsu%20-%20Map%202%20-%20Dai%203%20Hanashi.zip|BS Zelda no Densetsu - Map 2 - Dai 3 Hanashi|240.9K
BS%20Zelda%20no%20Densetsu%20-%20Map%202%20-%20Dai%204%20Hanashi.zip|BS Zelda no Densetsu - Map 2 - Dai 4 Hanashi|690.0K
BS%20Zelda%20no%20Densetsu%20Inishie%20no%20Sekiban%20Dai%201%20Wa.zip|BS Zelda no Densetsu Inishie no Sekiban Dai 1 Wa|705.8K
BS%20Zelda%20no%20Densetsu%20Inishie%20no%20Sekiban%20Dai%202%20Wa.zip|BS Zelda no Densetsu Inishie no Sekiban Dai 2 Wa|721.1K
BS%20Zelda%20no%20Densetsu%20Inishie%20no%20Sekiban%20Dai%203%20Wa.zip|BS Zelda no Densetsu Inishie no Sekiban Dai 3 Wa|770.7K
BS%20Zelda%20no%20Densetsu%20Inishie%20no%20Sekiban%20Dai%204%20Wa.zip|BS Zelda no Densetsu Inishie no Sekiban Dai 4 Wa|2.0M
Bahamut%20Lagoon%20%28ENG%29%20%23%20SNES.zip|Bahamut Lagoon (ENG) # SNES|2.0M
Bahamut%20Lagoon.zip|Bahamut Lagoon|624.1K
Ball%20Bullet%20Gun.zip|Ball Bullet Gun|679.2K
Ballz%203D%20%28U%29%20%5B%21%5D.zip|Ballz 3D (U) [!]|361.6K
Bananas%20de%20Pijamas.zip|Bananas de Pijamas|476.4K
Barbie%20Super%20Model%20%28U%29.zip|Barbie Super Model (U)|582.4K
Barbie%20Vacation%20Adventure%20%28U%29.zip|Barbie Vacation Adventure (U)|661.6K
Barkley%20Shut%20Up%20and%20Jam%21%20%28U%29.zip|Barkley Shut Up and Jam! (U)|1.1M
Bass%20Masters%20Classic%20%28U%29.zip|Bass Masters Classic (U)|1.4M
Bass%20Masters%20Classic%20-%20Pro%20Edition%20%28U%29%20%5B%21%5D.zip|Bass Masters Classic - Pro Edition (U) [!]|1.1M
Bassin%27s%20Black%20Bass%20%28U%29.zip|Bassin's Black Bass (U)|593.0K
Bastard%21%21%20-%20Ankoku%20no%20Hakaishin.zip|Bastard!! - Ankoku no Hakaishin|438.4K
Batman%20-%20Revenge%20of%20the%20Joker%20%28U%29.zip|Batman - Revenge of the Joker (U)|2.1M
Batman%20Forever%20%28U%29%20%5B%21%5D.zip|Batman Forever (U) [!]|745.0K
Batman%20Returns%20%28U%29%20%5B%21%5D.zip|Batman Returns (U) [!]|595.4K
Battle%20Blaze%20%28U%29%20%5B%21%5D.zip|Battle Blaze (U) [!]|757.3K
Battle%20Cars%20%28U%29%20%5B%21%5D.zip|Battle Cars (U) [!]|676.4K
Battle%20Clash%20%28U%29%20%5B%21%5D.zip|Battle Clash (U) [!]|379.1K
Battle%20Grand%20Prix%20%28U%29.zip|Battle Grand Prix (U)|503.4K
Battle%20Soccer%20-%20Field%20no%20Hasha.zip|Battle Soccer - Field no Hasha|680.8K
Battletoads%20%26%20Double%20Dragon%20-%20The%20Ultimate%20Team%20%28U%29%20%5B%21%5D.zip|Battletoads & Double Dragon - The Ultimate Team (U) [!]|654.9K
Battletoads%20in%20Battlemaniacs%20%28U%29%20%5B%21%5D.zip|Battletoads in Battlemaniacs (U) [!]|318.4K
Bazooka%20Blitzkrieg%20%28U%29.zip|Bazooka Blitzkrieg (U)|718.9K
Beauty%20and%20the%20Beast%20%28U%29.zip|Beauty and the Beast (U)|1.0M
Beavis%20and%20Butt-head%20%28U%29%20%5B%21%5D.zip|Beavis and Butt-head (U) [!]|564.2K
Bebe%27s%20Kids%20%28U%29%20%5B%21%5D.zip|Bebe's Kids (U) [!]|308.1K
Beethoven%27s%202nd%20%28U%29.zip|Beethoven's 2nd (U)|588.0K
Best%20of%20the%20Best%20-%20Championship%20Karate%20%28U%29.zip|Best of the Best - Championship Karate (U)|544.9K
Big%20Sky%20Trooper%20%28U%29%20%5B%21%5D.zip|Big Sky Trooper (U) [!]|734.5K
Biker%20Mice%20From%20Mars%20%28U%29%20%5B%21%5D.zip|Biker Mice From Mars (U) [!]|196.8K
Bill%20Laimbeer%27s%20Combat%20Basketball%20%28U%29%20%5B%21%5D.zip|Bill Laimbeer's Combat Basketball (U) [!]|748.7K
Bill%20Walsh%20College%20Football%20%28U%29%20%5B%21%5D.zip|Bill Walsh College Football (U) [!]|448.5K
Bio%20Metal%20%28U%29%20%5B%21%5D.zip|Bio Metal (U) [!]|2.4M
Bishoujo%20Senshi%20Sailor%20Moon%20-%20Another%20Story.zip|Bishoujo Senshi Sailor Moon - Another Story|1.5M
Bishoujo%20Senshi%20Sailor%20Moon%20R.zip|Bishoujo Senshi Sailor Moon R|692.2K
Blackthorne%20%28U%29%20%5B%21%5D.zip|Blackthorne (U) [!]|496.9K
Blazeon%20%28U%29.zip|Blazeon (U)|303.6K
Blues%20Brothers%2C%20The%20%28U%29%20%5B%21%5D.zip|Blues Brothers, The (U) [!]|637.4K
Bobby%27s%20World%20%28U%29.zip|Bobby's World (U)|719.3K
Bonkers%20%28U%29.zip|Bonkers (U)|1.9M
Boogerman%20-%20A%20Pick%20and%20Flick%20Adventure%20%28U%29%20%5B%21%5D.zip|Boogerman - A Pick and Flick Adventure (U) [!]|744.3K
Boxing%20Legends%20of%20the%20Ring%20%28U%29.zip|Boxing Legends of the Ring (U)|688.1K
Brain%20Lord%20%28U%29%20%5B%21%5D.zip|Brain Lord (U) [!]|301.2K
Brainies%2C%20The%20%28U%29.zip|Brainies, The (U)|749.0K
Bram%20Stoker%27s%20Dracula%20%28U%29.zip|Bram Stoker's Dracula (U)|966.2K
Brandish%20%28U%29%20%5B%21%5D.zip|Brandish (U) [!]|1.8M
Brandish%202%20-%20The%20Planet%20Buster.zip|Brandish 2 - The Planet Buster|914.8K
Brawl%20Brothers%20%28U%29%20%5B%21%5D.zip|Brawl Brothers (U) [!]|228.3K
BreakThru%21%20%28U%29.zip|BreakThru! (U)|1.0M
Breath%20of%20Fire%20%28U%29%20%5B%21%5D.zip|Breath of Fire (U) [!]|1.7M
Breath%20of%20Fire%20II%20%28U%29%20%5B%21%5D.zip|Breath of Fire II (U) [!]|1.1M
Brett%20Hull%20Hockey%20%2795%20%28U%29.zip|Brett Hull Hockey '95 (U)|1.2M
Brett%20Hull%20Hockey%20%28U%29%20%5B%21%5D.zip|Brett Hull Hockey (U) [!]|449.0K
Bronkie%20Health%20Hero%20%28U%29.zip|Bronkie Health Hero (U)|726.2K
Brunswick%20World%20Tournament%20of%20Champions%20%28U%29.zip|Brunswick World Tournament of Champions (U)|1.3M
Brutal%20-%20Paws%20of%20Fury%20%28U%29.zip|Brutal - Paws of Fury (U)|1.1M
Bubsy%20II%20%28U%29.zip|Bubsy II (U)|1.1M
Bubsy%20in%20Claws%20Encounters%20of%20the%20Furred%20Kind%20%28U%29%20%5B%21%5D.zip|Bubsy in Claws Encounters of the Furred Kind (U) [!]|873.9K
Bugs%20Bunny%20-%20Rabbit%20Rampage%20%28U%29%20%5B%21%5D.zip|Bugs Bunny - Rabbit Rampage (U) [!]|493.5K
Bulls%20Vs%20Blazers%20and%20the%20NBA%20Playoffs%20%28U%29%20%28V1.1%29%20%5B%21%5D.zip|Bulls Vs Blazers and the NBA Playoffs (U) (V1.1) [!]|268.8K
Bust-A-Move%20%28U%29.zip|Bust-A-Move (U)|390.7K
Cacoma%20Knight%20in%20Bizyland%20%28U%29.zip|Cacoma Knight in Bizyland (U)|631.1K
Cal%20Ripken%20Jr.%20Baseball%20%28U%29%20%5B%21%5D.zip|Cal Ripken Jr. Baseball (U) [!]|463.4K
California%20Games%20II%20%28U%29.zip|California Games II (U)|784.5K
Cannondale%20Cup%20%28U%29%20%5B%21%5D.zip|Cannondale Cup (U) [!]|619.9K
Capcom%27s%20MVP%20Football%20%28U%29.zip|Capcom's MVP Football (U)|734.5K
Capcom%27s%20Soccer%20Shootout%20%28U%29.zip|Capcom's Soccer Shootout (U)|774.5K
Captain%20America%20and%20The%20Avengers%20%28U%29.zip|Captain America and The Avengers (U)|1.3M
Captain%20Commando%20%28U%29.zip|Captain Commando (U)|341.6K
Captain%20Novolin%20%28U%29.zip|Captain Novolin (U)|1.0M
Carrier%20Aces%20%28U%29.zip|Carrier Aces (U)|387.2K
Casper%20%28U%29.zip|Casper (U)|1.2M
Castlevania%20-%20Dracula%20X%20%28U%29%20%5B%21%5D.zip|Castlevania - Dracula X (U) [!]|548.5K
Champions%20World%20Class%20Soccer%20%28U%29.zip|Champions World Class Soccer (U)|409.7K
Championship%20Pool%20%28U%29.zip|Championship Pool (U)|230.7K
Championship%20Soccer%20%2794%20%28U%29.zip|Championship Soccer '94 (U)|1.9M
Chaos%20Seed.zip|Chaos Seed|404.5K
Chavez%20%28U%29.zip|Chavez (U)|649.9K
Chavez%20II%20%28U%29.zip|Chavez II (U)|110.3K
Chessmaster%2C%20The%20%28U%29.zip|Chessmaster, The (U)|368.4K
Chester%20Cheetah%20-%20Too%20Cool%20to%20Fool%20%28U%29%20%5B%21%5D.zip|Chester Cheetah - Too Cool to Fool (U) [!]|672.5K
Chester%20Cheetah%20-%20Wild%20Wild%20Quest%20%28U%29%20%2859734%29.zip|Chester Cheetah - Wild Wild Quest (U) (59734)|379.3K
Choplifter%20III%20%28U%29%20%2854553%29.zip|Choplifter III (U) (54553)|806.8K
Chou-Genjin%202.zip|Chou-Genjin 2|2.2M
Chou-Mahou%20Tairiku%20Wozz.zip|Chou-Mahou Tairiku Wozz|2.9M
Chrono%20Trigger%20%28U%29%20%5B%21%5D.zip|Chrono Trigger (U) [!]|493.4K
Chuck%20Rock%20%28U%29.zip|Chuck Rock (U)|942.5K
Civilization%20%28U%29%20%5B%21%5D.zip|Civilization (U) [!]|83.4K
Classic%20Kong%20Complete.zip|Classic Kong Complete|1.6M
Clay%20Fighter%20%28U%29%20%5B%21%5D.zip|Clay Fighter (U) [!]|2.1M
Clay%20Fighter%20-%20Tournament%20Edition%20%28U%29.zip|Clay Fighter - Tournament Edition (U)|2.1M
Clay%20Fighter%202%20-%20Judgment%20Clay%20%28U%29%20%5B%21%5D.zip|Clay Fighter 2 - Judgment Clay (U) [!]|699.9K
Claymates%20%28U%29%20%5B%21%5D.zip|Claymates (U) [!]|321.3K
Claymates%20Demo%20%28U%29.zip|Claymates Demo (U)|568.2K
Cliffhanger%20%28U%29.zip|Cliffhanger (U)|1.6M
Clock%20Tower.zip|Clock Tower|327.9K
Clue%20%28U%29%20%5B%21%5D.zip|Clue (U) [!]|979.1K
College%20Football%20USA%20%2797%20-%20The%20Road%20to%20New%20Orleans%20%28U%29%20%5B%21%5D.zip|College Football USA '97 - The Road to New Orleans (U) [!]|1.6M
College%20Slam%20Basketball%20%28U%29%20%5B%21%5D.zip|College Slam Basketball (U) [!]|862.1K
Combatribes%2C%20The%20%28U%29.zip|Combatribes, The (U)|335.2K
Congo%27s%20Caper%20%28U%29.zip|Congo's Caper (U)|735.8K
Contra%20III%20-%20The%20Alien%20Wars%20%28U%29%20%5B%21%5D.zip|Contra III - The Alien Wars (U) [!]|664.8K
Cool%20Spot%20%28U%29%20%5B%21%5D.zip|Cool Spot (U) [!]|667.0K
Cool%20World%20%28U%29%20%5B%21%5D.zip|Cool World (U) [!]|1.1M
Crystal%20Beans%20-%20From%20Dungeon%20Explorer.zip|Crystal Beans - From Dungeon Explorer|404.5K
Cu-On-Pa%20SFC.zip|Cu-On-Pa SFC|1.0M
Cutthroat%20Island%20%28U%29%20%5B%21%5D.zip|Cutthroat Island (U) [!]|1.6M
Cyber%20Knight%20II%20-%20Chikyuu%20Teikoku%20no%20Yabou.zip|Cyber Knight II - Chikyuu Teikoku no Yabou|594.3K
Cyber%20Knight.zip|Cyber Knight|362.4K
Cyber%20Spin%20%28U%29%20%5B%21%5D.zip|Cyber Spin (U) [!]|773.7K
Cybernator%20%28U%29.zip|Cybernator (U)|584.5K
Cyborg%20009.zip|Cyborg 009|452.5K
D-Force%20%28U%29.zip|D-Force (U)|576.0K
Daffy%20Duck%20-%20The%20Marvin%20Missions%20%28U%29%20%5B%21%5D.zip|Daffy Duck - The Marvin Missions (U) [!]|1.2M
Dai%203%20Ji%20-%20Super%20Robot%20Taisen%20%28ENG%29%20%23%20SNES.zip|Dai 3 Ji - Super Robot Taisen (ENG) # SNES|1.2M
Dai-3-Ji%20Super%20Robot%20Taisen.zip|Dai-3-Ji Super Robot Taisen|398.5K
Darius%20Twin%20%28U%29%20%5B%21%5D.zip|Darius Twin (U) [!]|2.1M
Dark%20Law%20-%20Meaning%20of%20Death.zip|Dark Law - Meaning of Death|506.5K
David%20Crane%27s%20Amazing%20Tennis%20%28U%29%20%5B%21%5D.zip|David Crane's Amazing Tennis (U) [!]|1.3M
Death%20and%20Return%20of%20Superman%2C%20The%20%28U%29.zip|Death and Return of Superman, The (U)|964.6K
Demolition%20Man%20%28U%29.zip|Demolition Man (U)|1.3M
Demon%27s%20Crest%20%28U%29%20%5B%21%5D.zip|Demon's Crest (U) [!]|692.9K
Dennis%20the%20Menace%20%28U%29.zip|Dennis the Menace (U)|2.0M
Der%20Langrisser.zip|Der Langrisser|657.8K
