alpine|Alpine Ski (set 1)|27.6K
alpinea|Alpine Ski (set 2)|27.5K
alpinerc|Alpine Racer (Rev. AR2 Ver.C)|12.5M
alpinerd|Alpine Racer (Rev. AR2 Ver.D)|12.7M
altbeas2|Altered Beast (Version 2)|841.6K
altbeast|Altered Beast (Version 1)|828.9K
amatelas|Sei Senshi Amatelass|170.6K
amazon|Soldier Girl Amazon|170.4K
ambush|Ambush|29.5K
ambusht|Ambush (Tecfri)|29.6K
amerdart|AmeriDarts|1.0M
amidar|Amidar|15.5K
amidaro|Amidar (Olympia)|16.8K
amidars|Amidar (Scramble hardware)|16.4K
amidaru|Amidar (Stern)|16.6K
amigo|Amigo|15.7K
amspdwy|American Speedway (set 1)|27.0K
amspdwya|American Speedway (set 2)|25.5K
androdun|Andro Dunos|2.3M
andromed|Andromeda (Japan[Q])|7.7K
angelkds|Angel Kids (Japan)|220.8K
anteater|Anteater|14.7K
aodk|Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku|10.2M
aof|Art of Fighting / Ryuuko no Ken|6.9M
aof2|Art of Fighting 2 / Ryuuko no Ken 2|12.3M
aof3|Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden|16.9M
apb|APB - All Points Bulletin (rev 7)|748.7K
apb1|APB - All Points Bulletin (rev 1)|747.8K
apb2|APB - All Points Bulletin (rev 2)|747.8K
apb3|APB - All Points Bulletin (rev 3)|748.2K
apb4|APB - All Points Bulletin (rev 4)|748.4K
apb5|APB - All Points Bulletin (rev 5)|748.6K
apb6|APB - All Points Bulletin (rev 6)|748.6K
apbf|APB - All Points Bulletin (French)|748.9K
apbg|APB - All Points Bulletin (German)|748.9K
aponow|Apocaljpse Now|16.5K
apparel|Apparel Night (Japan 860929)|125.5K
appoooh|Appoooh|118.3K
aquajack|Aqua Jack (World)|2.3M
aquajckj|Aqua Jack (Japan)|2.3M
aquarium|Aquarium (Japan)|997.1K
aquarush|Aqua Rush (AQ1-VER.A)|11.5M
arabfgt|Arabian Fight|8.7M
arabiamj|Arabian Magic (Japan)|4.2M
arabiamu|Arabian Magic (US)|4.2M
arabian|Arabian|36.0K
arabiana|Arabian (Atari)|35.9K
arabianm|Arabian Magic (World)|4.2M
arbalest|Arbalester|2.0M
arcadecl|Arcade Classics (prototype)|986.6K
arcadia|Waga Seishun no Arcadia|18.2K
archriv2|Arch Rivals (rev 2.0)|350.9K
archrivl|Arch Rivals (rev 4.0)|351.1K
area51|Area 51|628.7K
area51mx|Area 51 - Maximum Force Duo v2.0|297.1K
area88|Area 88 (Japan)|1.2M
arescue|Air Rescue|4.9M
argus|Argus|156.4K
arkangc|Arkanoid (Game Corporation bootleg)|67.2K
arkanoid|Arkanoid (World)|67.7K
arkarea|Ark Area|171.6K
arkatayt|Arkanoid (Tayto bootleg, Japanese)|67.2K
arkatour|Tournament Arkanoid (US)|67.1K
arkbl2|Arkanoid (Japanese bootleg Set 2)|67.8K
arkbl3|Arkanoid (Japanese bootleg Set 3)|67.2K
arkbloc2|Block (Game Corporation bootleg)|67.2K
arkblock|Block (bootleg, Japanese)|67.2K
arknid2j|Arkanoid - Revenge of DOH (Japan)|161.4K
arknid2u|Arkanoid - Revenge of DOH (US)|161.4K
arknoid2|Arkanoid - Revenge of DOH (World)|161.4K
arknoidj|Arkanoid (Japan)|67.9K
arknoidu|Arkanoid (US)|67.8K
arknoiuo|Arkanoid (US, older)|67.7K
arkretrn|Arkanoid Returns (Japan)|2.2M
arlingtn|Arlington Horse Racing (v1.21-D)|411.6K
armedf|Armed Formation|382.4K
armora|Armor Attack|9.3K
armorap|Armor Attack (prototype)|9.4K
armorar|Armor Attack (Rock-ola)|7.3K
armorca2|Armored Car (set 2)|16.1K
armorcar|Armored Car (set 1)|16.2K
armwar|Armored Warriors (Euro 941011)|15.8M
armwara|Armored Warriors (Asia 940920)|14.8M
armwaru|Armored Warriors (USA 941024)|15.8M
armwrest|Arm Wrestling|145.9K
ashnojoe|Ashita no Joe (Japan)|1.8M
ashura|Ashura Blaster (Japan)|893.6K
ashurau|Ashura Blaster (US)|905.5K
aso|ASO - Armored Scrum Object|121.3K
assault|Assault|1.1M
assaultj|Assault (Japan)|1.1M
